siteID,month,avg_temp,min_temp,max_temp,var_temp
DSNY,1,15.998715708899805,15.62495016565749,16.411243596481206,0.05904601850794013
DSNY,2,19.467764775796866,19.090765370070233,19.894817382495948,0.06399559697460833
DSNY,3,20.2630190351711,19.865298550380228,20.706821625475285,0.07214454610266159
DSNY,4,22.29217063381681,21.900522789588713,22.739382177627657,0.07649356248758196
DSNY,5,24.633078906173566,24.23135948537325,25.095808541238625,0.08272093728597985
DSNY,6,26.225662011787033,25.83238162021776,26.690855908500648,0.09592875836579762
DSNY,7,26.872629245940832,26.468592419563702,27.344739117441975,0.10355465683833051
DSNY,8,26.98999504826255,26.610689980694982,27.437078841698842,0.09510918918918919
DSNY,9,26.349888003788276,25.9841236241187,26.774225391981478,0.08263974534357571
DSNY,10,24.272620143396956,23.925801802150954,24.665037796725123,0.05693425055711656
DSNY,11,20.018210591791654,19.659255784211137,20.41110685966748,0.05828689687245669
DSNY,12,18.109203497596155,17.736589915865384,18.51481828125,0.05956461538461538
HARV,1,-4.151388645059645,-4.3596134818816115,-3.9336814877335136,0.020363977042538825
HARV,2,-2.1008551672677527,-2.326955167267753,-1.860424748165651,0.023042233553040668
HARV,3,0.8963437031051599,0.6334555927507792,1.1878592404478818,0.03193650005771673
HARV,4,6.531107489837399,6.247456209349593,6.8518922865853655,0.04066021341463415
HARV,5,13.301724406964091,12.96484478781284,13.689547214363438,0.05534340587595212
HARV,6,18.120313435662315,17.792107425495864,18.471275431077444,0.04740589056114821
HARV,7,20.96475238418957,20.65065053899194,21.29359613479654,0.04732405555016024
HARV,8,20.55083782501236,20.243895264458725,20.87537110232328,0.043618329214038555
HARV,9,16.360596182652813,16.080146037690263,16.65515471128292,0.03435908431988403
HARV,10,10.488556381969158,10.230546132858837,10.752413036773428,0.03018693950177936
HARV,11,3.442840007781092,3.2060811308520294,3.6854670989495526,0.025415588120866296
HARV,12,-1.8387400189102943,-2.033532939368869,-1.6405265453256117,0.01824144900130008
MOAB,1,-1.758979401514241,-2.3984932339863,-1.1463627448623963,0.20544893642591036
MOAB,2,1.0932914896339903,0.49822816739186077,1.6880266828768875,0.15857723317123112
MOAB,3,6.219891460151251,5.561618871436882,6.900838534031414,0.1845477603257708
MOAB,4,10.645750434431198,9.913405869872701,11.419006910486967,0.21143363305718327
MOAB,5,15.207282747869465,14.438253377676158,16.013292693826646,0.23049053211390563
MOAB,6,22.954364718071762,22.093782975242664,23.87675478241902,0.2944168284436689
MOAB,7,25.34077967216538,24.563180799749425,26.1884850281896,0.24857952599707664
MOAB,8,23.948940570875664,23.171837987421384,24.78753618771166,0.251208824383164
MOAB,9,19.571241415946776,18.758378641644324,20.417658315956707,0.27399559130175755
MOAB,10,11.086050617042115,10.346251616062684,11.824702184133203,0.2315104015670911
MOAB,11,5.5025900362545315,4.721597812226529,6.260115414426803,0.2698989623702963
MOAB,12,-0.8878490268767377,-1.5551766797961075,-0.2467771200185357,0.2220075532900834
WOOD,1,-11.32969185550819,-11.596362160646175,-11.060393257796724,0.04404707202153915
WOOD,2,-12.997222161693697,-13.3012854525195,-12.694482741116751,0.045492076265940325
WOOD,3,-3.2467552566411526,-3.563212674470959,-2.9078813484916703,0.04618616614137776
WOOD,4,3.044209810568295,2.6540363908275175,3.4892603589232305,0.06730701894317048
WOOD,5,12.219157384987893,11.766439428571429,12.741861627118643,0.0838809200968523
WOOD,6,18.912641954720034,18.452734091368505,19.4304603800283,0.08930742874469376
WOOD,7,21.257304160047656,20.802651866560762,21.773781334392375,0.08288192017474186
WOOD,8,19.547625677352638,19.104379224405378,20.051962761116854,0.07621930713547052
WOOD,9,14.646156471640012,14.23579946359392,15.096668232839972,0.07088165292539982
WOOD,10,5.742746812979103,5.395388333508349,6.113117105954006,0.05464608841751549
WOOD,11,-2.522024569205114,-2.8301682879377434,-2.20658686770428,0.04728285158421345
WOOD,12,-8.626372312190734,-8.907547784525416,-8.344061212325686,0.04218444669365722
